Sample_ID	PIT	Fish_ID	group	Sex	Photoperiod	pop	selection	subgroups
F65	LA000000900226000524063	76	Wild LV	1	12:12	Wild	LV	Wild LV 12:12
	LA000000900226000789959	62	Wild LV	NA	24	Wild	LV	Wild LV 24
F99	LA000000900226000789955	30	Wild HV	1	12:12	Wild	HV	Wild HV 12:12
F63	LA000000900226000790680	50	Wild HV	1	12:12	Wild	HV	Wild HV 12:12
F76	LA000000900226000789228	6	Wild LV	1	12:12	Wild	LV	Wild LV 12:12
	LA000000900226000789927	55	Wild LV	NA	24	Wild	LV	Wild LV 24
F98	LA000000900226000789964	85	Wild LV	-1	12:12	Wild	LV	Wild LV 12:12
F113	LA000000900226000772345	29	Wild HV	1	12:12	Wild	HV	Wild HV 12:12
F61	LA000000900226000790131	80	Wild HV	1	12:12	Wild	HV	Wild HV 12:12
F138	LA000000900226000076467	22	Wild LV	1	24	Wild	LV	Wild LV 24
F130	LA000000900226000789242	65	Wild HV	1	24	Wild	HV	Wild HV 24
F84	LA000000900226000790128	15	Wild LV	-1	12:12	Wild	LV	Wild LV 12:12
F62	LA000000900226000789244	75	Wild HV	-1	12:12	Wild	HV	Wild HV 12:12
F66	LA000000900226000624782	2	Wild LV	1	12:12	Wild	LV	Wild LV 12:12
	LA000000900226000772356	51	Hatchery LV		12:12	Hatchery	LV	Hatchery LV 12:12
	LA000000900226000790608	86	Wild HV		12:12	Wild	HV	Wild HV 12:12
F102	LA000000900226000790139	63	Hatchery LV	-1	12:12	Hatchery	LV	Hatchery LV 12:12
