Sample	ID	PIT	Group	Pop	Selection	Photoperiod	Sex	Weight_end	Length_end	Trial	Repeat	Arena	Beh_batch	Out_time_min	Activity	Explorated
F120	54	LA000000900226000790663	Wild HV	Wild	HV	24	-1	13.8	110	54_4	1	4	5	9.75	NA	0
F68	3	LA000000900226000789212	Wild LV	Wild	LV	12:12	1	15.6	116	3_4	1	1	2	2.8775	0.083012004	1
F73	59	LA000000900226000790674	Wild HV	Wild	HV	12:12	1	19.3	120	59_2	0	3	1	0.360666667	0.981092071	1
F84	15	LA000000900226000790128	Wild LV	Wild	LV	12:12	-1	16.7	118	15_2	0	3	2	0	0.984529231	1
F86	25	LA000000900226000729111	Wild LV	Wild	LV	12:12	1	16.9	119	25_2	0	2	1	0.096666667	0.284842345	1
F61	80	LA000000900226000790131	Wild HV	Wild	HV	12:12	1	14.9	113	80_3	1	2	3	0.035833333	0.312670048	1
F73	59	LA000000900226000790674	Wild HV	Wild	HV	12:12	1	19.3	120	59_3	1	1	1	6.381166667	0.304430611	1
F78	60	LA000000900226000790653	Wild HV	Wild	HV	12:12	-1	18	118	60_3	1	4	5	0.0715	0.393037144	1
F84	15	LA000000900226000790128	Wild LV	Wild	LV	12:12	-1	16.7	118	15_3	1	3	3	3.205	0.977208556	1
F86	25	LA000000900226000729111	Wild LV	Wild	LV	12:12	1	16.9	119	25_3	1	3	1	0.33	0.987244161	1
F88	81	LA000000900226000789970	Wild LV	Wild	LV	12:12	1	16.9	117	81_3	1	3	4	5.430333333	0.891470431	1
F97	94	LA000000982000359701552	Wild LV	Wild	LV	12:12	-1	24	132	94_3	1	1	4	4.436	0.692790449	1
F98	85	LA000000900226000789964	Wild LV	Wild	LV	12:12	-1	14.6	109	85_3	1	2	5	0.0265	0.357706587	1
F99	30	LA000000900226000789955	Wild HV	Wild	HV	12:12	1	15.2	112	30_3	1	4	3	0.960166667	0.920895033	1
F104	19	LA000000900226000772334	Wild HV	Wild	HV	12:12	-1	24.7	132	19_1	-1	4	3	9.75	NA	0
F54	43	LA000000900226000790125	Wild LV	Wild	LV	12:12	-1	25.6	132	43_1	-1	1	4	9.75	NA	0
F55	26	LA000000900226000789245	Wild LV	Wild	LV	12:12	-1	19.3	117	26_1	-1	3	5	9.75	NA	0
F62	75	LA000000900226000789244	Wild HV	Wild	HV	12:12	-1	18.7	124	75_1	-1	3	3	5.913833333	0.464525816	1
F63	50	LA000000900226000790680	Wild HV	Wild	HV	12:12	1	15.5	112	50_1	-1	2	3	9.75	NA	0
F66	2	LA000000900226000624782	Wild LV	Wild	LV	12:12	1	16.6	117	2_1	-1	2	5	3.313333333	0.165355689	0
F75	93	LA000000900226000789942	Wild LV	Wild	LV	12:12	-1	11	101	93_1	-1	4	5	9.75	NA	0
F76	6	LA000000900226000789228	Wild LV	Wild	LV	12:12	1	18.5	119	6_4	0	3	1	7.777833333	0.868844978	1
F79	84	LA000000900226000790697	Wild HV	Wild	HV	12:12	-1	13.7	109	84_4	1	2	2	9.543333333	0.69840809	0
F80	14	LA000000900226000789939	Wild HV	Wild	HV	12:12	-1	13.4	107	14_4	0	1	2	0.251	0.246541353	0
F89	31	LA000000900226000790102	Wild LV	Wild	LV	12:12	NA	17.5	116	31_4	0	4	1	5.536	0.677026578	1
F104	19	LA000000900226000772334	Wild HV	Wild	HV	12:12	-1	24.7	132	19_2	0	2	3	7.185833333	0.992301924	1
F54	43	LA000000900226000790125	Wild LV	Wild	LV	12:12	-1	25.6	132	43_2	0	2	4	9.75	NA	0
F55	26	LA000000900226000789245	Wild LV	Wild	LV	12:12	-1	19.3	117	26_2	0	4	2	9.75	NA	0
F62	75	LA000000900226000789244	Wild HV	Wild	HV	12:12	-1	18.7	124	75_2	0	4	3	0.135833333	0.369610689	1
F63	50	LA000000900226000790680	Wild HV	Wild	HV	12:12	1	15.5	112	50_2	0	1	3	0.015666667	0.126975493	0
F66	2	LA000000900226000624782	Wild LV	Wild	LV	12:12	1	16.6	117	2_2	0	3	1	0.738833333	0.289049036	1
F75	93	LA000000900226000789942	Wild LV	Wild	LV	12:12	-1	11	101	93_2	0	3	2	7.8305	0.388299036	1
	38	LA000000900226000789233	Wild LV	Wild	LV	24	NA	NA	NA	38_1	-1	2	4	3.914333333	0.706123471	1
	44	LA000000900226000772286	Wild HV	Wild	HV	24	NA	NA	NA	44_1	-1	1	2	2.857333333	NA	NA
	62	LA000000900226000789959	Wild LV	Wild	LV	24	NA	NA	NA	62_1	-1	2	1	9.75	NA	0
	56	LA000000900226000524037	Wild LV	Wild	LV	24	NA	NA	NA	56_1	-1	4	4	9.75	NA	0
	100	LA000000900226000772365	Wild HV	Wild	HV	24	NA	NA	NA	100_1	-1	4	2	9.75	NA	0
F126	12	LA000000982000359701602	Wild LV	Wild	LV	24	-1	22.1	130	12_1	-1	1	3	9.75	NA	0
F130	65	LA000000900226000789242	Wild HV	Wild	HV	24	1	18.1	117	65_1	-1	4	1	9.75	NA	0
F135	96	LA000000900226000790609	Wild LV	Wild	LV	24	1	16.8	115	96_1	-1	3	4	0.005	0.032031811	1
F136	37	LA000000982000359701619	Wild LV	Wild	LV	24	-1	19.7	126	37_1	-1	2	2	3.001666667	0.153716321	1
F138	22	LA000000900226000076467	Wild LV	Wild	LV	24	1	14.7	110	22_1	-1	2	3	7.399833333	0.160622423	0
F140	48	LA000000900226000772391	Wild HV	Wild	HV	24	1	29.4	137	48_1	-1	4	5	9.75	NA	0
F104	19	LA000000900226000772334	Wild HV	Wild	HV	12:12	-1	24.7	132	19_3	1	2	3	0.027333333	0.208032114	1
F54	43	LA000000900226000790125	Wild LV	Wild	LV	12:12	-1	25.6	132	43_3	1	3	3	3.378	0.271498745	1
F55	26	LA000000900226000789245	Wild LV	Wild	LV	12:12	-1	19.3	117	26_3	1	1	2	0.873833333	0.008505921	0
F62	75	LA000000900226000789244	Wild HV	Wild	HV	12:12	-1	18.7	124	75_3	1	1	1	1.797333333	0.862953893	1
F63	50	LA000000900226000790680	Wild HV	Wild	HV	12:12	1	15.5	112	50_3	1	3	4	0.489666667	0.096181134	0
F66	2	LA000000900226000624782	Wild LV	Wild	LV	12:12	1	16.6	117	2_3	1	4	1	9.75	NA	0
F75	93	LA000000900226000789942	Wild LV	Wild	LV	12:12	-1	11	101	93_3	1	4	2	0.023166667	0.236268922	1
	38	LA000000900226000789233	Wild LV	Wild	LV	24	NA	NA	NA	38_2	0	1	1	2.042833333	0.060938062	0
	44	LA000000900226000772286	Wild HV	Wild	HV	24	NA	NA	NA	44_2	0	2	5	3.451333333	0.134815763	1
	56	LA000000900226000524037	Wild LV	Wild	LV	24	NA	NA	NA	56_2	0	3	2	0.437666667	0.423217686	1
	62	LA000000900226000789959	Wild LV	Wild	LV	24	NA	NA	NA	62_2	0	1	3	0.100833333	0.138077161	0
	100	LA000000900226000772365	Wild HV	Wild	HV	24	NA	NA	NA	100_2	0	2	4	0.198166667	0.136776875	1
F126	12	LA000000982000359701602	Wild LV	Wild	LV	24	-1	22.1	130	12_2	0	4	5	0	0.096426667	0
F130	65	LA000000900226000789242	Wild HV	Wild	HV	24	1	18.1	117	65_2	0	3	4	0.032	0.208177493	1
F135	96	LA000000900226000790609	Wild LV	Wild	LV	24	1	16.8	115	96_2	0	1	5	5.280333333	0.824018196	1
F136	37	LA000000982000359701619	Wild LV	Wild	LV	24	-1	19.7	126	37_2	0	3	1	0.225333333	0.308731368	1
F138	22	LA000000900226000076467	Wild LV	Wild	LV	24	1	14.7	110	22_2	0	3	3	3.553333333	0.063153274	1
F140	48	LA000000900226000772391	Wild HV	Wild	HV	24	1	29.4	137	48_2	0	1	2	9.75	NA	0
F101	34	LA000000900226000772300	Wild HV	Wild	HV	12:12	1	20.4	124	34_1	-1	2	1	1.305666667	0.192734165	1
F105	11	LA000000900226000790144	Wild LV	Wild	LV	12:12	1	12.2	106	11_1	-1	3	2	9.75	NA	0
F70	35	LA000000982000359701574	Wild LV	Wild	LV	12:12	-1	11.8	105	35_1	1	1	2	1.434	0.412509992	1
F72	64	LA000000900226000789202	Wild HV	Wild	HV	12:12	1	15.8	117	64_1	-1	1	1	0.7845	0.163942892	1
F93	20	LA000000900226000772211	Wild HV	Wild	HV	12:12	1	18	118	20_1	-1	2	2	6.053833333	0.875365581	1
F96	42	LA000000900226000772251	Wild HV	Wild	HV	12:12	-1	21.2	121	42_1	-1	2	4	9.75	NA	0
	38	LA000000900226000789233	Wild LV	Wild	LV	24	NA	NA	NA	38_3	1	2	1	4.015166667	0.32159407	1
	44	LA000000900226000772286	Wild HV	Wild	HV	24	NA	NA	NA	44_3	1	4	2	0.002166667	0.266579331	1
	62	LA000000900226000789959	Wild LV	Wild	LV	24	NA	NA	NA	62_3	1	4	1	0.5055	0.030775055	0
	56	LA000000900226000524037	Wild LV	Wild	LV	24	NA	NA	NA	56_3	1	4	5	7.848166667	0.746124805	1
	100	LA000000900226000772365	Wild HV	Wild	HV	24	NA	NA	NA	100_3	1	3	5	0.2225	0.473385151	1
F126	12	LA000000982000359701602	Wild LV	Wild	LV	24	-1	22.1	130	12_3	1	3	3	0	0.181708718	1
F130	65	LA000000900226000789242	Wild HV	Wild	HV	24	1	18.1	117	65_3	1	2	6	0.1895	0.194192029	1
F135	96	LA000000900226000790609	Wild LV	Wild	LV	24	1	16.8	115	96_3	1	4	3	9.75	NA	0
F136	37	LA000000982000359701619	Wild LV	Wild	LV	24	-1	19.7	126	37_3	1	2	5	4.708333333	0.619897772	1
F138	22	LA000000900226000076467	Wild LV	Wild	LV	24	1	14.7	110	22_3	1	1	2	9.75	NA	0
F140	48	LA000000900226000772391	Wild HV	Wild	HV	24	1	29.4	137	48_3	1	3	2	0	0.052444103	1
F101	34	LA000000900226000772300	Wild HV	Wild	HV	12:12	1	20.4	124	34_2	0	1	2	6.466666667	0.330608466	1
F105	11	LA000000900226000790144	Wild LV	Wild	LV	12:12	1	12.2	106	11_2	0	1	1	5.089	1	1
F70	35	LA000000982000359701574	Wild LV	Wild	LV	12:12	-1	11.8	105	35_2	-1	2	1	0.016166667	0.588273064	1
F72	64	LA000000900226000789202	Wild HV	Wild	HV	12:12	1	15.8	117	64_2	0	4	3	0.364333333	0.116630992	0
F93	20	LA000000900226000772211	Wild HV	Wild	HV	12:12	1	18	118	20_2	0	4	1	0.276	0.656391176	1
F96	42	LA000000900226000772251	Wild HV	Wild	HV	12:12	-1	21.2	121	42_2	0	1	3	0.3325	0.260595699	1
