Sample	ID	PIT	Group	Pop	Selection	Photoperiod	Sex	Weight_end	Length_end	Trial	Repeat	Arena	Beh_batch	Out_time_min	Activity	Explorated
F90	91	LA000000900226000790196	Hatchery HV	Hatchery	HV	12:12	1	16.6	118	91_3	-1	2	5	0.104333333	0.636259098	0
F102	63	LA000000900226000790139	Hatchery LV	Hatchery	LV	12:12	-1	10	100	63_2	0	2	5	0.333666667	0.56128241	1
F108	78	LA000000900226000772311	Hatchery LV	Hatchery	LV	12:12	1	11.9	105	78_2	0	4	3	0.042333333	0.229576201	1
F109	92	LA000000900226000790101	Hatchery LV	Hatchery	LV	12:12	-1	14.5	115	92_4	0	1	4	0.129333333	0.223217302	1
F112	45	LA000000900226000789908	Hatchery HV	Hatchery	HV	12:12	-1	19.3	121	45_2	0	2	1	2.818	0.316599827	1
F60	61	LA000000900226000790180	Hatchery LV	Hatchery	LV	12:12	-1	NA	107	61_4	1	4	5	2.495666667	0.267311706	1
F77	32	LA000000900226000790647	Hatchery LV	Hatchery	LV	12:12	1	31.5	144	32_2	0	3	5	0.016166667	0.358115605	1
F81	23	LA000000900226000772582	Hatchery HV	Hatchery	HV	12:12	1	23.5	129	23_2	0	3	3	2.719833333	0.219815453	1
F82	74	LA000000900226000790060	Hatchery HV	Hatchery	HV	12:12	-1	21.7	128	74_2	0	2	2	0.377833333	0.370406213	1
F85	9	LA000000900226000772352	Hatchery HV	Hatchery	HV	12:12	-1	13.8	111	9_4	1	2	3	0.1535	0.458656802	1
F91	13	LA000000900226000789972	Hatchery HV	Hatchery	HV	12:12	-1	14.9	115	13_2	0	2	4	0.174333333	0.763498533	1
F92	53	LA000000900226000790143	Hatchery HV	Hatchery	HV	12:12	-1	18	118	53_2	0	1	5	0.354666667	0.259010318	1
F94	58	LA000000900226000790174	Hatchery HV	Hatchery	HV	12:12	-1	22.3	130	58_2	0	4	1	0.193	0.128177252	1
	49	LA000000900226000789961	Hatchery HV	Hatchery	HV	24	NA	NA	NA	49_3	0	4	2	9.75	NA	0
	82	LA000000900226000790187	Hatchery LV	Hatchery	LV	24	NA	NA	NA	82_4	1	4	4	0.679333333	0.19998633	1
