Sample_ID	PIT	Fish_ID	group	Sex	Photoperiod	pop	selection	subgroups	Metab_chamber	Mass_g_postMR	Ave_O2_mg_h	Min_O2_mg_h	Temp
	LA000000900226000790624	90	Wild HV	NA	24	Wild	HV	Wild HV 24	3	22.1	2.319490613	0.734760667	4.13
F117	LA000000900226000789999	52	Wild LV	-1	24	Wild	LV	Wild LV 24	1	14.6	2.417480108	0.40510625	4.21
F88	LA000000900226000789970	81	Wild LV	1	12:12	Wild	LV	Wild LV 12:12	1	17	2.495224316	0.673680358	4.5
F72	LA000000900226000789202	64	Wild HV	1	12:12	Wild	HV	Wild HV 12:12	1	14.5	2.498322311	0.556987809	4.57
F70	LA000000982000359701574	35	Wild LV	-1	12:12	Wild	LV	Wild LV 12:12	1	11.8	2.505149883	0.500087537	4.78
	LA000000900226000772365	100	Wild HV	NA	24	Wild	HV	Wild HV 24	1	11.6	2.530494405	0.350564274	4.07
F97	LA000000982000359701552	94	Wild LV	-1	12:12	Wild	LV	Wild LV 12:12	4	21.2	2.538531734	0.629253785	4.34
F75	LA000000900226000789942	93	Wild LV	-1	12:12	Wild	LV	Wild LV 12:12	2	11.2	2.584912014	0.445432992	4.82
F96	LA000000900226000772251	42	Wild HV	-1	12:12	Wild	HV	Wild HV 12:12	2	20	2.671865789	0.702895368	4.78
	LA000000900226000789233	38	Wild LV	NA	24	Wild	LV	Wild LV 24	1	16	2.692277956	0.503208774	4.98
F105	LA000000900226000790144	11	Wild LV	1	12:12	Wild	LV	Wild LV 12:12	1	12.4	2.698454989	0.649735734	4.9
F114	LA000000900226000772316	95	Wild HV	-1	24	Wild	HV	Wild HV 24	1	8.8	2.731772873	NA	4.5
	LA000000900226000772244	7	Wild HV	NA	24	Wild	HV	Wild HV 24	1	12.9	2.750134681	0.561579222	5.02
F120	LA000000900226000790663	54	Wild HV	-1	24	Wild	HV	Wild HV 24	1	13.2	2.802945397	0.529244371	4.17
F73	LA000000900226000790674	59	Wild HV	1	12:12	Wild	HV	Wild HV 12:12	3	20.3	2.950060545	0.692804848	5.1
F68	LA000000900226000789212	3	Wild LV	1	12:12	Wild	LV	Wild LV 12:12	1	16.4	3.02004266	0.553773258	4.25
