Batch	Fish_ID	Sample_ID	PIT	group	Sex	Photoperiod	pop	selection	subgroups	low10	q0.1	q0.2	ave_MR	Mass	Chamber.No	Temp
30	all.slopes.Batch18	62		LA000000900226000789959	Wild LV	NA	24	Wild	LV	Wild LV 24	3.31977567287148	3.65795598153573	3.8394593100326	4.47674533552814	13.4	CH4	5.11339014202172
31	all.slopes.Batch18	65	F130	LA000000900226000789242	Wild HV	1	24	Wild	HV	Wild HV 24	3.36291355776931	3.51517363891781	3.8897892502165	5.33556388158089	17.4	CH3	5.10060455486542
32	all.slopes.Batch18	66		LA000000900226000790173	Hatchery LV	NA	24	Hatchery	LV	Hatchery LV 24	3.1274124242289	2.41786869894512	2.63714685974688	3.50115303808498	11.7	CH1	5.11024404761905
33	all.slopes.Batch18	89		LA000000900226000772380	Hatchery LV	NA	24	Hatchery	LV	Hatchery LV 24	4.02969091118015	3.50274797627278	4.14085815517796	4.5008188279974	12.3	CH2	5.12084057971015
34	all.slopes.Batch19	2	F66	LA000000900226000624782	Wild LV	1	12:12	Wild	LV	Wild LV 12:12	2.8142710418532	3.01116077876615	4.46061407674644	5.20300824962692	15.3	CH2	5.08281717687075
35	all.slopes.Batch19	40	F69	LA000000900226000772510	Hatchery HV	1	12:12	Hatchery	HV	Hatchery HV 12:12	1.98642513637579	1.73684140884607	1.99051004655677	3.91331870219182	21.1	CH4	5.09473721340388
36	all.slopes.Batch19	70	F71	LA000000900226000772314	Hatchery LV	-1	12:12	Hatchery	LV	Hatchery LV 12:12	2.43502581111618	2.05101539831457	2.85281878974132	3.58897620383146	13.5	CH1	5.09682275132275
37	all.slopes.Batch19	75	F62	LA000000900226000789244	Wild HV	-1	12:12	Wild	HV	Wild HV 12:12	3.37400360413523	3.49895614841714	4.39106193619175	5.24685454102452	16.9	CH3	5.08162585034014
38	all.slopes.Batch2	16	F124	LA000000900226000772320	Hatchery HV	1	24	Hatchery	HV	Hatchery HV 24	2.5570397816719	2.21016148915458	2.82312733619527	3.40167285498927	11.7	CH4	4.20699338624339
39	all.slopes.Batch2	17	F128	LA000000900226000790665	Hatchery LV	1	24	Hatchery	LV	Hatchery LV 24	1.91329592590984	1.98021879646843	2.16317599566313	3.69675501473696	16.8	CH3	4.21321617535903
40	all.slopes.Batch2	54	F120	LA000000900226000790663	Wild HV	-1	24	Wild	HV	Wild HV 24	2.86404082072675	3.04726432855035	3.25848293317444	3.63433335466513	13.2	CH1	4.21449314128944
41	all.slopes.Batch20	28	F59	LA000000900226000772551	Hatchery LV	-1	12:12	Hatchery	LV	Hatchery LV 12:12	3.45981373728469	3.5374947434234	4.41285800929328	5.07704039213286	17.7	CH4	5.09256878306878
42	all.slopes.Batch20	39	F58	LA000000900226000772374	Hatchery HV	-1	12:12	Hatchery	HV	Hatchery HV 12:12	2.37194761039747	2.04819997250467	2.25913209241194	3.48744044211835	24	CH3	5.09848412698413
43	all.slopes.Batch20	43	F54	LA000000900226000790125	Wild LV	-1	12:12	Wild	LV	Wild LV 12:12	2.65941996757721	2.57274203087233	3.16092517555575	3.86286081915632	13.8	CH2	5.09085497835498
44	all.slopes.Batch20	50	F63	LA000000900226000790680	Wild HV	1	12:12	Wild	HV	Wild HV 12:12	2.87126346599017	3.21779576977748	3.464866957975	4.08884038493284	15.4	CH1	5.08465230536659
45	all.slopes.Batch21	38		LA000000900226000789233	Wild LV	NA	24	Wild	LV	Wild LV 24	3.36351926192158	3.01284318139718	4.0729582124123	4.60912586225372	16	CH1	4.9878431372549
46	all.slopes.Batch22	26	F55	LA000000900226000789245	Wild LV	-1	12:12	Wild	LV	Wild LV 12:12	2.38738338112503	2.60115687931365	3.08417190219515	4.23629388364203	17.3	CH1	4.8249706959707
